city_name,cve_code,period,growth_factor,phi,image
Aguascalientes,01.1.01,1990–2000,1.357007,1.317895,assets/images/metros/01.1.012.png
Aguascalientes,01.1.01,2000–2010,1.354875,1.321290,assets/images/metros/01.1.012.png
Aguascalientes,01.1.01,2010–2020,1.241567,1.157796,assets/images/metros/01.1.012.png
Tijuana,02.1.01,1990–2000,1.692234,1.466643,assets/images/metros/02.1.012.png
Tijuana,02.1.01,2000–2010,1.271823,1.236459,assets/images/metros/02.1.012.png
Tijuana,02.1.01,2010–2020,1.242852,1.166810,assets/images/metros/02.1.012.png
Ensenada,02.2.02,1990–2000,1.333609,1.162162,assets/images/metros/02.2.022.png
Ensenada,02.2.02,2000–2010,1.244134,1.211646,assets/images/metros/02.2.022.png
Ensenada,02.2.02,2010–2020,1.173905,1.080000,assets/images/metros/02.2.022.png
Mexicali,02.2.03,1990–2000,1.281779,1.177496,assets/images/metros/02.2.032.png
Mexicali,02.2.03,2000–2010,1.309139,1.244572,assets/images/metros/02.2.032.png
Mexicali,02.2.03,2010–2020,1.139948,1.113249,assets/images/metros/02.2.032.png
La Paz,03.2.01,1990–2000,1.183906,1.162714,assets/images/metros/03.2.012.png
La Paz,03.2.01,2000–2010,1.349301,1.257237,assets/images/metros/03.2.012.png
La Paz,03.2.01,2010–2020,1.179840,1.139943,assets/images/metros/03.2.012.png
Los Cabos,03.2.02,1990–2000,3.212778,1.413793,assets/images/metros/03.2.022.png
Los Cabos,03.2.02,2000–2010,2.482013,1.514286,assets/images/metros/03.2.022.png
Los Cabos,03.2.02,2010–2020,1.580264,1.122763,assets/images/metros/03.2.022.png
Campeche,04.2.01,1990–2000,1.267729,1.166795,assets/images/metros/04.2.012.png
Campeche,04.2.01,2000–2010,1.198885,1.158431,assets/images/metros/04.2.012.png
Campeche,04.2.01,2010–2020,1.132663,1.050031,assets/images/metros/04.2.012.png
La Laguna,05.1.01,1990–2000,1.188759,1.242807,assets/images/metros/05.1.012.png
La Laguna,05.1.01,2000–2010,1.227870,1.265863,assets/images/metros/05.1.012.png
La Laguna,05.1.01,2010–2020,1.142941,1.156574,assets/images/metros/05.1.012.png
Monclova-Frontera,05.1.02,1990–2000,1.082523,1.128346,assets/images/metros/05.1.022.png
Monclova-Frontera,05.1.02,2000–2010,1.114485,1.070846,assets/images/metros/05.1.022.png
Monclova-Frontera,05.1.02,2010–2020,1.199257,1.086031,assets/images/metros/05.1.022.png
Piedras Negras,05.1.03,1990–2000,1.356495,1.384025,assets/images/metros/05.1.032.png
Piedras Negras,05.1.03,2000–2010,1.188816,1.257237,assets/images/metros/05.1.032.png
Piedras Negras,05.1.03,2010–2020,1.155450,1.147245,assets/images/metros/05.1.032.png
Saltillo,05.1.04,1990–2000,1.358264,1.222222,assets/images/metros/05.1.042.png
Saltillo,05.1.04,2000–2010,1.308097,1.265409,assets/images/metros/05.1.042.png
Saltillo,05.1.04,2010–2020,1.266741,1.152872,assets/images/metros/05.1.042.png
Colima-Villa de Álvarez,06.1.01,1990–2000,1.374352,1.263768,assets/images/metros/06.1.012.png
Colima-Villa de Álvarez,06.1.01,2000–2010,1.298826,1.291005,assets/images/metros/06.1.012.png
Colima-Villa de Álvarez,06.1.01,2010–2020,1.192668,1.133333,assets/images/metros/06.1.012.png
Tapachula,07.1.01,1990–2000,1.295129,1.285714,assets/images/metros/07.1.012.png
Tapachula,07.1.01,2000–2010,1.196820,1.275862,assets/images/metros/07.1.012.png
Tapachula,07.1.01,2010–2020,1.078468,1.093023,assets/images/metros/07.1.012.png
Tuxtla Gutiérrez,07.1.02,1990–2000,1.467357,1.285714,assets/images/metros/07.1.022.png
Tuxtla Gutiérrez,07.1.02,2000–2010,1.300642,1.200080,assets/images/metros/07.1.022.png
Tuxtla Gutiérrez,07.1.02,2010–2020,1.122494,1.122763,assets/images/metros/07.1.022.png
Chihuahua,08.1.01,1990–2000,1.274576,1.222222,assets/images/metros/08.1.012.png
Chihuahua,08.1.01,2000–2010,1.241506,1.218680,assets/images/metros/08.1.012.png
Chihuahua,08.1.01,2010–2020,1.163279,1.122763,assets/images/metros/08.1.012.png
Delicias,08.1.02,1990–2000,1.128163,1.260870,assets/images/metros/08.1.022.png
Delicias,08.1.02,2000–2010,1.197294,1.263768,assets/images/metros/08.1.022.png
Delicias,08.1.02,2010–2020,1.088735,1.171429,assets/images/metros/08.1.022.png
Juárez,08.2.03,1990–2000,1.522811,1.270728,assets/images/metros/08.2.032.png
Juárez,08.2.03,2000–2010,1.094612,1.449687,assets/images/metros/08.2.032.png
Juárez,08.2.03,2010–2020,1.136674,1.157059,assets/images/metros/08.2.032.png
Ciudad de México,09.1.01,1990–2000,1.181903,1.163728,assets/images/metros/09.1.012.png
Ciudad de México,09.1.01,2000–2010,1.084880,1.064647,assets/images/metros/09.1.012.png
Ciudad de México,09.1.01,2010–2020,1.080645,1.026908,assets/images/metros/09.1.012.png
Durango,10.2.01,1990–2000,1.226795,1.181818,assets/images/metros/10.2.012.png
Durango,10.2.01,2000–2010,1.213722,1.128346,assets/images/metros/10.2.012.png
Durango,10.2.01,2010–2020,1.184657,1.106686,assets/images/metros/10.2.012.png
Celaya,11.1.01,1990–2000,1.292726,1.240000,assets/images/metros/11.1.012.png
Celaya,11.1.01,2000–2010,1.368266,1.296296,assets/images/metros/11.1.012.png
Celaya,11.1.01,2010–2020,1.102819,1.106686,assets/images/metros/11.1.012.png
León,11.1.02,1990–2000,1.336687,1.256410,assets/images/metros/11.1.022.png
León,11.1.02,2000–2010,1.255502,1.229040,assets/images/metros/11.1.022.png
León,11.1.02,2010–2020,1.334743,1.225397,assets/images/metros/11.1.022.png
Guanajuato,11.2.03,1990–2000,1.209726,1.202020,assets/images/metros/11.2.032.png
Guanajuato,11.2.03,2000–2010,1.176425,1.210526,assets/images/metros/11.2.032.png
Guanajuato,11.2.03,2010–2020,1.236276,1.210526,assets/images/metros/11.2.032.png
Irapuato,11.2.04,1990–2000,1.269323,1.222222,assets/images/metros/11.2.042.png
Irapuato,11.2.04,2000–2010,1.235846,1.206897,assets/images/metros/11.2.042.png
Irapuato,11.2.04,2010–2020,1.163852,1.146341,assets/images/metros/11.2.042.png
